population,origin,destination,toFromPrefix,shareOfCar,shareOfScooter,shareOfTrain,shareOfTaxi,shareOfMRT,shareOfBus,shareOfBike,shareOfWalk
14,H01,F17,桃園市桃園區-新北市樹林區,0,0,1,0,0,0,0,0
14,H01,F28,桃園市桃園區-新北市汐止區,0,0,0,0,0,1,0,0
138,H01,H03,桃園市桃園區-桃園市中壢區,0.144927536,0.434782609,0,0,0,0.420289855,0,0
79,H01,H08,桃園市桃園區-桃園市八德區,0.291139241,0.708860759,0,0,0,0,0,0
53,H01,H06,桃園市桃園區-桃園市大園區,1,0,0,0,0,0,0,0
39,H01,H10,桃園市桃園區-桃園市平鎮區,0.641025641,0,0,0,0,0.358974359,0,0
1480,H01,H01,桃園市桃園區-桃園市桃園區,0.112837838,0.7,0,0.010810811,0,0.056081081,0.02027027,0.1
25,H01,H04,桃園市桃園區-桃園市楊梅區,1,0,0,0,0,0,0,0
152,H01,H05,桃園市桃園區-桃園市蘆竹區,0.328947368,0.605263158,0,0,0,0.065789474,0,0
68,H01,H12,桃園市桃園區-桃園市觀音區,0.764705882,0.235294118,0,0,0,0,0,0
172,H01,H07,桃園市桃園區-桃園市龜山區,0.162790698,0.610465116,0,0,0,0.139534884,0.087209302,0
35,H01,A03,桃園市桃園區-臺北市中正區,1,0,0,0,0,0,0,0
14,H01,A17,桃園市桃園區-臺北市信義區,1,0,0,0,0,0,0,0
17,H01,A15,桃園市桃園區-臺北市士林區,0,0,0,0,0,1,0,0
14,H01,A05,桃園市桃園區-臺北市萬華區,0,0,1,0,0,0,0,0
142,H04,H03,桃園市楊梅區-桃園市中壢區,0.14084507,0.788732394,0,0,0,0.070422535,0,0
30,H04,H10,桃園市楊梅區-桃園市平鎮區,0.533333333,0.466666667,0,0,0,0,0,0
28,H04,H11,桃園市楊梅區-桃園市新屋區,1,0,0,0,0,0,0,0
16,H04,H01,桃園市楊梅區-桃園市桃園區,0,1,0,0,0,0,0,0
658,H04,H04,桃園市楊梅區-桃園市楊梅區,0.281155015,0.642857143,0,0,0,0,0,0.075987842
63,H04,H12,桃園市楊梅區-桃園市觀音區,1,0,0,0,0,0,0,0
109,H04,A03,桃園市楊梅區-臺北市中正區,0.486238532,0.275229358,0,0,0,0.23853211,0,0
23,H05,F18,桃園市蘆竹區-新北市中和區,1,0,0,0,0,0,0,0
15,H05,F03,桃園市蘆竹區-新北市五股區,1,0,0,0,0,0,0,0
14,H05,F02,桃園市蘆竹區-新北市林口區,0,1,0,0,0,0,0,0
23,H05,F17,桃園市蘆竹區-新北市樹林區,0,1,0,0,0,0,0,0
30,H05,H03,桃園市蘆竹區-桃園市中壢區,0.466666667,0.533333333,0,0,0,0,0,0
14,H05,H08,桃園市蘆竹區-桃園市八德區,1,0,0,0,0,0,0,0
228,H05,H01,桃園市蘆竹區-桃園市桃園區,0.557017544,0.337719298,0,0,0,0.105263158,0,0
711,H05,H05,桃園市蘆竹區-桃園市蘆竹區,0.386779184,0.53164557,0,0,0,0.035161744,0.022503516,0.023909986
14,H05,H09,桃園市蘆竹區-桃園市龍潭區,1,0,0,0,0,0,0,0
50,H05,H07,桃園市蘆竹區-桃園市龜山區,0,1,0,0,0,0,0,0
20,H05,A10,桃園市蘆竹區-臺北市中山區,1,0,0,0,0,0,0,0
14,H05,A03,桃園市蘆竹區-臺北市中正區,1,0,0,0,0,0,0,0
16,H12,F19,桃園市觀音區-新北市土城區,1,0,0,0,0,0,0,0
16,H12,F02,桃園市觀音區-新北市林口區,1,0,0,0,0,0,0,0
124,H12,H03,桃園市觀音區-桃園市中壢區,0.322580645,0.564516129,0,0,0,0.112903226,0,0
31,H12,H11,桃園市觀音區-桃園市新屋區,0,1,0,0,0,0,0,0
51,H12,H01,桃園市觀音區-桃園市桃園區,1,0,0,0,0,0,0,0
229,H12,H12,桃園市觀音區-桃園市觀音區,0.069868996,0.659388646,0,0,0,0.061135371,0.109170306,0.100436681
14,H12,A03,桃園市觀音區-臺北市中正區,0,1,0,0,0,0,0,0
14,H09,F15,桃園市龍潭區-新北市三峽區,1,0,0,0,0,0,0,0
47,H09,H03,桃園市龍潭區-桃園市中壢區,0.319148936,0.680851064,0,0,0,0,0,0
25,H09,H06,桃園市龍潭區-桃園市大園區,1,0,0,0,0,0,0,0
45,H09,H10,桃園市龍潭區-桃園市平鎮區,0.555555556,0.444444444,0,0,0,0,0,0
20,H09,H01,桃園市龍潭區-桃園市桃園區,1,0,0,0,0,0,0,0
25,H09,H04,桃園市龍潭區-桃園市楊梅區,0,1,0,0,0,0,0,0
508,H09,H09,桃園市龍潭區-桃園市龍潭區,0.37007874,0.440944882,0,0,0,0.033464567,0.062992126,0.092519685
20,H09,A02,桃園市龍潭區-臺北市大安區,1,0,0,0,0,0,0,0
20,H07,F18,桃園市龜山區-新北市中和區,1,0,0,0,0,0,0,0
90,H07,F02,桃園市龜山區-新北市林口區,0.533333333,0.311111111,0,0,0,0.155555556,0,0
16,H07,H03,桃園市龜山區-桃園市中壢區,0,1,0,0,0,0,0,0
25,H07,H08,桃園市龜山區-桃園市八德區,0,1,0,0,0,0,0,0
115,H07,H01,桃園市龜山區-桃園市桃園區,0,0.87826087,0,0,0,0.12173913,0,0
42,H07,H05,桃園市龜山區-桃園市蘆竹區,0.404761905,0.595238095,0,0,0,0,0,0
14,H07,H09,桃園市龜山區-桃園市龍潭區,0,0,0,0,0,1,0,0
363,H07,H07,桃園市龜山區-桃園市龜山區,0.289256198,0.639118457,0,0,0,0.027548209,0.044077135,0
14,H07,A03,桃園市龜山區-臺北市中正區,1,0,0,0,0,0,0,0
14,H07,A14,桃園市龜山區-臺北市內湖區,0,0,0,0,0,1,0,0
10,H07,A16,桃園市龜山區-臺北市北投區,0,1,0,0,0,0,0,0
16,H07,A15,桃園市龜山區-臺北市士林區,1,0,0,0,0,0,0,0
16,H07,A09,桃園市龜山區-臺北市大同區,0,0,0,0,0,1,0,0
34,H07,A02,桃園市龜山區-臺北市大安區,0.588235294,0,0,0,0.411764706,0,0,0
60,A10,F05,臺北市中山區-新北市三重區,0,0,0,0,0.766666667,0.233333333,0,0
39,A10,F18,臺北市中山區-新北市中和區,1,0,0,0,0,0,0,0
17,A10,F07,臺北市中山區-新北市新店區,0,0,0,0,1,0,0,0
36,A10,F02,臺北市中山區-新北市林口區,1,0,0,0,0,0,0,0
23,A10,F33,臺北市中山區-新北市永和區,0,0,0,0,1,0,0,0
444,A10,A10,臺北市中山區-臺北市中山區,0.072072072,0.261261261,0,0,0.204954955,0.162162162,0.072072072,0.227477477
59,A10,A03,臺北市中山區-臺北市中正區,0,0.711864407,0,0,0,0,0.288135593,0
40,A10,A17,臺北市中山區-臺北市信義區,0.4,0,0,0,0.25,0.35,0,0
76,A10,A14,臺北市中山區-臺北市內湖區,0,0,0,0,0.328947368,0.671052632,0,0
16,A10,A15,臺北市中山區-臺北市士林區,0,0,0,0,0,1,0,0
73,A10,A09,臺北市中山區-臺北市大同區,0,0.547945205,0,0,0,0.452054795,0,0
53,A10,A02,臺北市中山區-臺北市大安區,0.264150943,0.264150943,0,0,0.471698113,0,0,0
14,A10,A11,臺北市中山區-臺北市文山區,0,0,0,0,1,0,0,0
112,A10,A01,臺北市中山區-臺北市松山區,0,0.544642857,0,0,0,0.455357143,0,0
14,A03,C01,臺北市中正區-基隆市中正區,0,0,0,0,0,1,0,0
20,A03,F05,臺北市中正區-新北市三重區,0,1,0,0,0,0,0,0
17,A03,F07,臺北市中正區-新北市新店區,0,0,0,0,0,1,0,0
17,A03,F01,臺北市中正區-新北市新莊區,0,0,0,0,1,0,0,0
14,A03,F28,臺北市中正區-新北市汐止區,1,0,0,0,0,0,0,0
10,A03,F27,臺北市中正區-新北市淡水區,0,0,0,0,1,0,0,0
15,A03,H06,臺北市中正區-桃園市大園區,1,0,0,0,0,0,0,0
58,A03,A10,臺北市中正區-臺北市中山區,0.275862069,0,0,0,0.275862069,0.172413793,0.275862069,0
399,A03,A03,臺北市中正區-臺北市中正區,0.040100251,0.243107769,0,0,0.102756892,0.373433584,0.040100251,0.200501253
39,A03,A17,臺北市中正區-臺北市信義區,0,0.641025641,0,0,0.358974359,0,0,0
23,A03,A14,臺北市中正區-臺北市內湖區,0,0,0,0,1,0,0,0
16,A03,A16,臺北市中正區-臺北市北投區,0,0,0,0,1,0,0,0
20,A03,A13,臺北市中正區-臺北市南港區,1,0,0,0,0,0,0,0
34,A03,A15,臺北市中正區-臺北市士林區,0.588235294,0,0,0,0.411764706,0,0,0
98,A03,A02,臺北市中正區-臺北市大安區,0,0.163265306,0,0,0.520408163,0.163265306,0.153061224,0
58,A03,A01,臺北市中正區-臺北市松山區,0,0,0,0,1,0,0,0
33,A03,A05,臺北市中正區-臺北市萬華區,0,0.484848485,0,0,0,0.515151515,0,0
16,A17,F05,臺北市信義區-新北市三重區,0,1,0,0,0,0,0,0
70,A17,F18,臺北市信義區-新北市中和區,0.571428571,0.228571429,0,0,0.2,0,0,0
14,A17,F03,臺北市信義區-新北市五股區,0,0,0,0,0,1,0,0
14,A17,F19,臺北市信義區-新北市土城區,0,0,0,0,1,0,0,0
25,A17,F17,臺北市信義區-新北市樹林區,0,0,1,0,0,0,0,0
14,A17,F09,臺北市信義區-新北市深坑區,0,0,0,0,0,1,0,0
86,A17,A10,臺北市信義區-臺北市中山區,0.290697674,0.441860465,0,0,0.26744186,0,0,0
72,A17,A03,臺北市信義區-臺北市中正區,0,0.222222222,0,0,0.777777778,0,0,0
277,A17,A17,臺北市信義區-臺北市信義區,0.057761733,0.386281588,0,0,0.054151625,0.162454874,0.057761733,0.281588448
66,A17,A14,臺北市信義區-臺北市內湖區,0,0.515151515,0,0,0.484848485,0,0,0
46,A17,A13,臺北市信義區-臺北市南港區,0,0.673913043,0,0,0.326086957,0,0,0
54,A17,A15,臺北市信義區-臺北市士林區,0.277777778,0.722222222,0,0,0,0,0,0
28,A17,A09,臺北市信義區-臺北市大同區,0,0,0,0,1,0,0,0
167,A17,A02,臺北市信義區-臺北市大安區,0,0.425149701,0,0,0,0.574850299,0,0
104,A17,A01,臺北市信義區-臺北市松山區,0.192307692,0,0,0,0,0.807692308,0,0
25,A14,C07,臺北市內湖區-基隆市信義區,0,0,0,0,0,1,0,0
46,A14,F05,臺北市內湖區-新北市三重區,0.304347826,0,0,0,0,0.695652174,0,0
50,A14,F01,臺北市內湖區-新北市新莊區,0.72,0,0,0,0.28,0,0,0
16,A14,F14,臺北市內湖區-新北市板橋區,0,0,0,0,1,0,0,0
16,A14,F02,臺北市內湖區-新北市林口區,1,0,0,0,0,0,0,0
16,A14,F28,臺北市內湖區-新北市汐止區,0,0,0,0,1,0,0,0
14,A14,H04,臺北市內湖區-桃園市楊梅區,1,0,0,0,0,0,0,0
20,A14,H12,臺北市內湖區-桃園市觀音區,1,0,0,0,0,0,0,0
158,A14,A10,臺北市內湖區-臺北市中山區,0.094936709,0.291139241,0,0,0.316455696,0.297468354,0,0
17,A14,A03,臺北市內湖區-臺北市中正區,0,0,0,0,1,0,0,0
100,A14,A17,臺北市內湖區-臺北市信義區,0.16,0.16,0,0,0.4,0.28,0,0
459,A14,A14,臺北市內湖區-臺北市內湖區,0.17211329,0.326797386,0,0,0.117647059,0.281045752,0,0.102396514
23,A14,A16,臺北市內湖區-臺北市北投區,0,0,0,0,1,0,0,0
103,A14,A13,臺北市內湖區-臺北市南港區,0.223300971,0.13592233,0,0,0.291262136,0.349514563,0,0
54,A14,A15,臺北市內湖區-臺北市士林區,0.277777778,0.462962963,0,0,0,0.259259259,0,0
30,A14,A09,臺北市內湖區-臺北市大同區,0.533333333,0.466666667,0,0,0,0,0,0
33,A14,A02,臺北市內湖區-臺北市大安區,0,0,0,0,0,1,0,0
66,A14,A01,臺北市內湖區-臺北市松山區,0,0.515151515,0,0,0,0.484848485,0,0
88,A16,F05,臺北市北投區-新北市三重區,0.352272727,0.647727273,0,0,0,0,0,0
16,A16,F18,臺北市北投區-新北市中和區,0,1,0,0,0,0,0,0
39,A16,F07,臺北市北投區-新北市新店區,0,0,0,0,1,0,0,0
32,A16,F01,臺北市北投區-新北市新莊區,0.5,0.5,0,0,0,0,0,0
14,A16,F28,臺北市北投區-新北市汐止區,0,1,0,0,0,0,0,0
30,A16,F06,臺北市北投區-新北市泰山區,0,1,0,0,0,0,0,0
40,A16,F27,臺北市北投區-新北市淡水區,0.4,0,0,0,0.35,0.25,0,0
14,A16,F04,臺北市北投區-新北市蘆洲區,0,0,0,0,1,0,0,0
61,A16,A10,臺北市北投區-臺北市中山區,0.229508197,0.262295082,0,0,0.508196721,0,0,0
178,A16,A03,臺北市北投區-臺北市中正區,0.370786517,0.08988764,0,0,0.539325843,0,0,0
14,A16,A17,臺北市北投區-臺北市信義區,0,0,0,0,1,0,0,0
93,A16,A14,臺北市北投區-臺北市內湖區,0.268817204,0.580645161,0,0,0.150537634,0,0,0
618,A16,A16,臺北市北投區-臺北市北投區,0,0.480582524,0,0,0.139158576,0.121359223,0.027508091,0.231391586
25,A16,A13,臺北市北投區-臺北市南港區,0,0,0,0,1,0,0,0
190,A16,A15,臺北市北投區-臺北市士林區,0.336842105,0.342105263,0,0,0.157894737,0.073684211,0.089473684,0
86,A16,A09,臺北市北投區-臺北市大同區,0,0.290697674,0,0,0.709302326,0,0,0
87,A16,A02,臺北市北投區-臺北市大安區,0.172413793,0.183908046,0,0,0.643678161,0,0,0
14,A16,A11,臺北市北投區-臺北市文山區,0,1,0,0,0,0,0,0
31,A16,A01,臺北市北投區-臺北市松山區,0,0,0,0,1,0,0,0
20,A16,A05,臺北市北投區-臺北市萬華區,0,0,0,0,1,0,0,0
25,A13,C02,臺北市南港區-基隆市七堵區,0.6,0,0.4,0,0,0,0,0
17,A13,F18,臺北市南港區-新北市中和區,0,0,0,0,0,1,0,0
39,A13,F28,臺北市南港區-新北市汐止區,0.358974359,0.641025641,0,0,0,0,0,0
20,A13,F27,臺北市南港區-新北市淡水區,1,0,0,0,0,0,0,0
14,A13,F21,臺北市南港區-新北市瑞芳區,1,0,0,0,0,0,0,0
42,A13,A10,臺北市南港區-臺北市中山區,0,0,0,0,0.380952381,0.619047619,0,0
89,A13,A03,臺北市南港區-臺北市中正區,0.157303371,0.224719101,0,0,0.438202247,0.179775281,0,0
104,A13,A17,臺北市南港區-臺北市信義區,0.192307692,0,0,0,0.423076923,0.384615385,0,0
36,A13,A14,臺北市南港區-臺北市內湖區,0,1,0,0,0,0,0,0
237,A13,A13,臺北市南港區-臺北市南港區,0.168776371,0.438818565,0,0,0.126582278,0.130801688,0,0.135021097
20,A13,A15,臺北市南港區-臺北市士林區,0,0,0,0,1,0,0,0
16,A13,A09,臺北市南港區-臺北市大同區,0,0,0,0,1,0,0,0
16,A13,A02,臺北市南港區-臺北市大安區,0,0,0,0,1,0,0,0
126,A13,A01,臺北市南港區-臺北市松山區,0,0.634920635,0,0,0.119047619,0.246031746,0,0
15,A15,F15,臺北市士林區-新北市三峽區,0,0,0,0,1,0,0,0
39,A15,F05,臺北市士林區-新北市三重區,0,0.641025641,0,0,0,0.358974359,0,0
35,A15,F18,臺北市士林區-新北市中和區,0,0.714285714,0,0.285714286,0,0,0,0
29,A15,F03,臺北市士林區-新北市五股區,1,0,0,0,0,0,0,0
16,A15,F02,臺北市士林區-新北市林口區,0,0,0,0,0,1,0,0
47,A15,F27,臺北市士林區-新北市淡水區,0.659574468,0,0,0,0.340425532,0,0,0
16,A15,H07,臺北市士林區-桃園市龜山區,1,0,0,0,0,0,0,0
50,A15,A10,臺北市士林區-臺北市中山區,0,0.72,0,0,0,0.28,0,0
105,A15,A03,臺北市士林區-臺北市中正區,0.161904762,0.133333333,0,0,0.4,0.304761905,0,0
91,A15,A17,臺北市士林區-臺北市信義區,0,0.549450549,0,0,0.450549451,0,0,0
107,A15,A14,臺北市士林區-臺北市內湖區,0.38317757,0.46728972,0,0,0,0.14953271,0,0
109,A15,A16,臺北市士林區-臺北市北投區,0.633027523,0.211009174,0,0,0,0.155963303,0,0
40,A15,A13,臺北市士林區-臺北市南港區,0.5,0,0,0,0.5,0,0,0
443,A15,A15,臺北市士林區-臺北市士林區,0.171557562,0.388261851,0,0,0.031602709,0.214446953,0.045146727,0.148984199
78,A15,A09,臺北市士林區-臺北市大同區,0,0.782051282,0,0,0,0.217948718,0,0
76,A15,A02,臺北市士林區-臺北市大安區,0,0.460526316,0,0,0.539473684,0,0,0
44,A15,A11,臺北市士林區-臺北市文山區,0,0.636363636,0,0,0.363636364,0,0,0
33,A15,A01,臺北市士林區-臺北市松山區,0,0.484848485,0,0,0.515151515,0,0,0
16,A15,A05,臺北市士林區-臺北市萬華區,0,0,0,0,1,0,0,0
14,A09,F05,臺北市大同區-新北市三重區,0,0,0,0,1,0,0,0
42,A09,F14,臺北市大同區-新北市板橋區,0,0.380952381,0,0,0.238095238,0.380952381,0,0
17,A09,F04,臺北市大同區-新北市蘆洲區,0,0,0,0,0,1,0,0
17,A09,H01,臺北市大同區-桃園市桃園區,0,0,0,0,0,1,0,0
87,A09,A10,臺北市大同區-臺北市中山區,0,0.471264368,0,0.16091954,0,0.195402299,0,0.172413793
34,A09,A17,臺北市大同區-臺北市信義區,0,1,0,0,0,0,0,0
30,A09,A14,臺北市大同區-臺北市內湖區,0,0.533333333,0,0,0.466666667,0,0,0
14,A09,A13,臺北市大同區-臺北市南港區,0,0,0,0,1,0,0,0
26,A09,A15,臺北市大同區-臺北市士林區,0,0.615384615,0,0,0,0.384615385,0,0
164,A09,A09,臺北市大同區-臺北市大同區,0,0.737804878,0,0,0,0.097560976,0,0.164634146
15,A09,A02,臺北市大同區-臺北市大安區,0,0,0,0,0,0,1,0
42,A09,A01,臺北市大同區-臺北市松山區,0,0.595238095,0,0,0,0.404761905,0,0
16,A09,A05,臺北市大同區-臺北市萬華區,0,1,0,0,0,0,0,0
14,A02,C01,臺北市大安區-基隆市中正區,1,0,0,0,0,0,0,0
10,A02,F18,臺北市大安區-新北市中和區,0,0,0,0,0,1,0,0
14,A02,F02,臺北市大安區-新北市林口區,1,0,0,0,0,0,0,0
10,A02,F33,臺北市大安區-新北市永和區,0,0,0,0,0,1,0,0
14,A02,F08,臺北市大安區-新北市石碇區,0,0,0,0,0,1,0,0
23,A02,H01,臺北市大安區-桃園市桃園區,1,0,0,0,0,0,0,0
10,A02,H04,臺北市大安區-桃園市楊梅區,0,0,1,0,0,0,0,0
16,A02,H05,臺北市大安區-桃園市蘆竹區,1,0,0,0,0,0,0,0
140,A02,A10,臺北市大安區-臺北市中山區,0,0,0,0.121428571,0.457142857,0.278571429,0.142857143,0
46,A02,A03,臺北市大安區-臺北市中正區,0,0.347826087,0,0,0,0.347826087,0.304347826,0
136,A02,A17,臺北市大安區-臺北市信義區,0.110294118,0.779411765,0,0,0,0.110294118,0,0
65,A02,A14,臺北市大安區-臺北市內湖區,0,0.246153846,0,0,0.753846154,0,0,0
29,A02,A16,臺北市大安區-臺北市北投區,0,0,0,0,1,0,0,0
62,A02,A13,臺北市大安區-臺北市南港區,0.274193548,0,0,0,0.451612903,0.274193548,0,0
16,A02,A15,臺北市大安區-臺北市士林區,0,0,0,0,0,1,0,0
53,A02,A09,臺北市大安區-臺北市大同區,0,0,0,0,1,0,0,0
577,A02,A02,臺北市大安區-臺北市大安區,0.027729636,0.279029463,0,0,0.150779896,0.124783362,0.393414211,0.024263432
64,A02,A11,臺北市大安區-臺北市文山區,0,0.75,0,0,0.25,0,0,0
82,A02,A01,臺北市大安區-臺北市松山區,0.243902439,0,0,0,0.37804878,0.37804878,0,0
25,A11,F18,臺北市文山區-新北市中和區,0,0.6,0,0,0.4,0,0,0
70,A11,F07,臺北市文山區-新北市新店區,0.228571429,0.2,0,0,0,0.571428571,0,0
16,A11,F02,臺北市文山區-新北市林口區,1,0,0,0,0,0,0,0
23,A11,F28,臺北市文山區-新北市汐止區,0,0,0,0,1,0,0,0
16,A11,F27,臺北市文山區-新北市淡水區,0,0,0,0,1,0,0,0
14,A11,F09,臺北市文山區-新北市深坑區,0,1,0,0,0,0,0,0
17,A11,F08,臺北市文山區-新北市石碇區,1,0,0,0,0,0,0,0
14,A11,H04,臺北市文山區-桃園市楊梅區,1,0,0,0,0,0,0,0
100,A11,A10,臺北市文山區-臺北市中山區,0,0.2,0,0,0.49,0.31,0,0
155,A11,A03,臺北市文山區-臺北市中正區,0.180645161,0.232258065,0,0,0,0.483870968,0.103225806,0
120,A11,A17,臺北市文山區-臺北市信義區,0,0.783333333,0,0,0,0.216666667,0,0
72,A11,A14,臺北市文山區-臺北市內湖區,0.777777778,0,0,0,0.222222222,0,0,0
31,A11,A15,臺北市文山區-臺北市士林區,0,0,0,0,0.483870968,0.516129032,0,0
16,A11,A09,臺北市文山區-臺北市大同區,0,0,0,0,1,0,0,0
184,A11,A02,臺北市文山區-臺北市大安區,0.125,0.456521739,0,0,0.092391304,0.239130435,0.086956522,0
504,A11,A11,臺北市文山區-臺北市文山區,0.123015873,0.367063492,0,0,0,0.287698413,0.087301587,0.134920635
54,A11,A01,臺北市文山區-臺北市松山區,0.555555556,0.259259259,0,0,0.185185185,0,0,0
31,A01,F05,臺北市松山區-新北市三重區,0,0.483870968,0,0,0,0.516129032,0,0
14,A01,F18,臺北市松山區-新北市中和區,1,0,0,0,0,0,0,0
16,A01,F03,臺北市松山區-新北市五股區,1,0,0,0,0,0,0,0
14,A01,F19,臺北市松山區-新北市土城區,0,0,0,0,1,0,0,0
37,A01,F14,臺北市松山區-新北市板橋區,0,0,0,0,0.378378378,0.621621622,0,0
10,A01,F33,臺北市松山區-新北市永和區,0,0,0,0,1,0,0,0
17,A01,F21,臺北市松山區-新北市瑞芳區,0,0,0,0,0,1,0,0
109,A01,A10,臺北市松山區-臺北市中山區,0,0.47706422,0,0,0,0.366972477,0.155963303,0
16,A01,A03,臺北市松山區-臺北市中正區,0,0,0,0,1,0,0,0
96,A01,A17,臺北市松山區-臺北市信義區,0,0.541666667,0,0,0.166666667,0.291666667,0,0
110,A01,A14,臺北市松山區-臺北市內湖區,0.290909091,0.127272727,0,0,0.445454545,0.136363636,0,0
10,A01,A16,臺北市松山區-臺北市北投區,0,0,0,0,1,0,0,0
32,A01,A13,臺北市松山區-臺北市南港區,0,0,0,0,0,1,0,0
30,A01,A02,臺北市松山區-臺北市大安區,0,0,0,0,0,0.466666667,0,0.533333333
386,A01,A01,臺北市松山區-臺北市松山區,0.064766839,0.199481865,0,0,0.082901554,0.321243523,0.207253886,0.124352332
33,A01,A05,臺北市松山區-臺北市萬華區,0,0,0,0,0.484848485,0.515151515,0,0
25,A05,F05,臺北市萬華區-新北市三重區,1,0,0,0,0,0,0,0
20,A05,F18,臺北市萬華區-新北市中和區,0,1,0,0,0,0,0,0
25,A05,F07,臺北市萬華區-新北市新店區,0,0,0,0,1,0,0,0
34,A05,F14,臺北市萬華區-新北市板橋區,1,0,0,0,0,0,0,0
14,A05,F02,臺北市萬華區-新北市林口區,0,1,0,0,0,0,0,0
20,A05,F33,臺北市萬華區-新北市永和區,0,1,0,0,0,0,0,0
14,A05,F08,臺北市萬華區-新北市石碇區,1,0,0,0,0,0,0,0
16,A05,F26,臺北市萬華區-新北市萬里區,1,0,0,0,0,0,0,0
16,A05,A10,臺北市萬華區-臺北市中山區,0,1,0,0,0,0,0,0
168,A05,A03,臺北市萬華區-臺北市中正區,0,0.880952381,0,0,0,0.119047619,0,0
25,A05,A17,臺北市萬華區-臺北市信義區,0,0,0,0,0.4,0.6,0,0
86,A05,A14,臺北市萬華區-臺北市內湖區,0,0.476744186,0,0,0.523255814,0,0,0
105,A05,A02,臺北市萬華區-臺北市大安區,0.238095238,0.457142857,0,0,0,0.304761905,0,0
14,A05,A11,臺北市萬華區-臺北市文山區,0,0,0,0,0,1,0,0
17,A05,A01,臺北市萬華區-臺北市松山區,0,0,0,1,0,0,0,0
400,A05,A05,臺北市萬華區-臺北市萬華區,0.04,0.35,0,0,0.1175,0.105,0.075,0.3125
